location,date,day_of_week,meal_period,category,item
The Atrium,2025-10-04,Saturday,Breakfast,YOGURT BAR,COUNTRY STYLE GRITS (VEGAN)
The Atrium,2025-10-04,Saturday,Breakfast,YOGURT BAR,CRAISINS
The Atrium,2025-10-04,Saturday,Breakfast,YOGURT BAR,GRANOLA OATS & HONEY
The Atrium,2025-10-04,Saturday,Breakfast,YOGURT BAR,OATMEAL
The Atrium,2025-10-04,Saturday,Breakfast,YOGURT BAR,PLAIN GREEK CHOBANI YOGURT
The Atrium,2025-10-04,Saturday,Breakfast,YOGURT BAR,STRAWBERRY YOGURT
The Atrium,2025-10-04,Saturday,Breakfast,YOGURT BAR,VANILLA YOGURT
The Atrium,2025-10-04,Saturday,Breakfast,FRUIT,BANANAS
The Atrium,2025-10-04,Saturday,Breakfast,FRUIT,GRANNY SMITH APPLES
The Atrium,2025-10-04,Saturday,Breakfast,FRUIT,RED DELICIOUS APPLES
The Atrium,2025-10-04,Saturday,Breakfast,FRUIT,WHOLE ORANGES
The Atrium,2025-10-04,Saturday,Breakfast,MEZZE PROTEINS,"12"" FLOUR TORTILLA"
The Atrium,2025-10-04,Saturday,Breakfast,MEZZE PROTEINS,BELGIAN WAFFLE
The Atrium,2025-10-04,Saturday,Breakfast,MEZZE PROTEINS,CRISPY CUBE POTATOES
The Atrium,2025-10-04,Saturday,Breakfast,MEZZE PROTEINS,EGG PATTY
The Atrium,2025-10-04,Saturday,Breakfast,MEZZE PROTEINS,FRENCH TOAST STICKS
The Atrium,2025-10-04,Saturday,Breakfast,MEZZE PROTEINS,HAMBURGER VEGAN BUN
The Atrium,2025-10-04,Saturday,Breakfast,MEZZE PROTEINS,KINGS HAWAIIAN SANDWICH ROLL
The Atrium,2025-10-04,Saturday,Breakfast,MEZZE PROTEINS,PANCAKES
The Atrium,2025-10-04,Saturday,Breakfast,MEZZE TOPPINGS AND SIDES,3 CHILIES CHIPOTLE SAUCE
The Atrium,2025-10-04,Saturday,Breakfast,MEZZE TOPPINGS AND SIDES,AVOCADO PULP
The Atrium,2025-10-04,Saturday,Breakfast,MEZZE TOPPINGS AND SIDES,DICED TOMATOES
The Atrium,2025-10-04,Saturday,Breakfast,MEZZE TOPPINGS AND SIDES,PLANT-BASED CHEESE SLICES
The Atrium,2025-10-04,Saturday,Breakfast,MEZZE TOPPINGS AND SIDES,SAUTEED MUSHROOMS
The Atrium,2025-10-04,Saturday,Breakfast,MEZZE TOPPINGS AND SIDES,SAUTEED ONION & PEPPERS
The Atrium,2025-10-04,Saturday,Breakfast,MEZZE TOPPINGS AND SIDES,SHREDDED CHEDDAR  CHEESE
The Atrium,2025-10-04,Saturday,Breakfast,MEZZE TOPPINGS AND SIDES,SHREDDED MOZZARELLA CHEESE
The Atrium,2025-10-04,Saturday,Breakfast,MEZZE TOPPINGS AND SIDES,SLICED ONIONS
The Atrium,2025-10-04,Saturday,Breakfast,MEZZE TOPPINGS AND SIDES,SLICED PEPPERJACK CHEESE
