location,campus,date,day_of_week,meal_period,category,item
Busch Dining Hall,Busch,2025-10-04,Saturday,Breakfast,BAGEL NUTRITION,CINNAMON RAISIN BAGELS
Busch Dining Hall,Busch,2025-10-04,Saturday,Breakfast,BAGEL NUTRITION,EGG BAGEL
Busch Dining Hall,Busch,2025-10-04,Saturday,Breakfast,BAGEL NUTRITION,EVERYTHING BAGEL
Busch Dining Hall,Busch,2025-10-04,Saturday,Breakfast,BAGEL NUTRITION,GARLIC BAGEL
Busch Dining Hall,Busch,2025-10-04,Saturday,Breakfast,BAGEL NUTRITION,JALAPENO BAGEL
Busch Dining Hall,Busch,2025-10-04,Saturday,Breakfast,BAGEL NUTRITION,ONION BAGEL
Busch Dining Hall,Busch,2025-10-04,Saturday,Breakfast,BAGEL NUTRITION,PLAIN BAGELS
Busch Dining Hall,Busch,2025-10-04,Saturday,Breakfast,BAGEL NUTRITION,POPPY BAGEL
Busch Dining Hall,Busch,2025-10-04,Saturday,Breakfast,BAGEL NUTRITION,SALT BAGEL
Busch Dining Hall,Busch,2025-10-04,Saturday,Breakfast,BAGEL NUTRITION,SESAME BAGEL
Busch Dining Hall,Busch,2025-10-04,Saturday,Breakfast,BAGEL NUTRITION,SUNDRIED TOMATO BAGEL
Busch Dining Hall,Busch,2025-10-04,Saturday,Breakfast,BAGEL NUTRITION,WHOLE WHEAT BAGEL
Busch Dining Hall,Busch,2025-10-04,Saturday,Breakfast,YOGURT BAR,PLAIN GREEK CHOBANI YOGURT
Busch Dining Hall,Busch,2025-10-04,Saturday,Breakfast,YOGURT BAR,STRAWBERRY YOGURT
Busch Dining Hall,Busch,2025-10-04,Saturday,Breakfast,YOGURT BAR,VANILLA YOGURT
Busch Dining Hall,Busch,2025-10-04,Saturday,Breakfast,YOGURT BAR,COTTAGE CHEESE
Busch Dining Hall,Busch,2025-10-04,Saturday,Breakfast,YOGURT BAR,GRANOLA OATS & HONEY
Busch Dining Hall,Busch,2025-10-04,Saturday,Breakfast,YOGURT BAR,CRAISINS
Busch Dining Hall,Busch,2025-10-04,Saturday,Breakfast,YOGURT BAR,RAISINS
