location,campus,date,day_of_week,meal_period,category,item
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,BAGELS,CINNAMAON RAISIN BAGELS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,BAGELS,EGG BAGEL
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,BAGELS,EVERYTHING BAGEL
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,BAGELS,GARLIC BAGEL
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,BAGELS,JALAPENO BAGEL
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,BAGELS,ONION BAGEL
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,BAGELS,PLAIN BAGELS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,BAGELS,POPPY BAGEL
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,BAGELS,SALT BAGEL
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,BAGELS,SESAME BAGEL
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,BAGELS,SUNDRIED TOMATO BAGEL
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,BAGELS,WHOLE WHEAT BAGEL
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,YOGURT BAR,COTTAGE CHEESE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,YOGURT BAR,CRAISINS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,YOGURT BAR,GRANOLA OATS & HONEY
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,YOGURT BAR,PLAIN GREEK CHOBANI YOGURT
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,YOGURT BAR,PUMPKIN SEEDS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,YOGURT BAR,RAISINS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,YOGURT BAR,STRAWBERRY YOGURT
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,YOGURT BAR,SUNFLOWER SEEDS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,YOGURT BAR,VANILLA YOGURT
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,FRUIT,BANANAS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,FRUIT,CANTALOUPE MELON
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,FRUIT,CUT HONEYDEW MELON
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,FRUIT,CUT PINEAPPLE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,FRUIT,GOLDEN DELICIOUS APPLES
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,FRUIT,GRANNY SMITH APPLES
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,FRUIT,GREEN SEEDLESS GRAPES
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,FRUIT,RED DELICIOUS APPLES
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,FRUIT,RED GRAPEFRUIT
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,FRUIT,RED SEEDLESS  GRAPES
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,FRUIT,WATERMELON
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,FRUIT,WHOLE ORANGES
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,BREADS,ENGLISH MUFFIN
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,BREADS,PANINI BREAD
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,BREADS,PITA BREAD
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,BREADS,SLICED PUMPERNICKEL BREAD
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,BREADS,SLICED RYE BREAD
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,BREADS,SLICED WHITE BREAD
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,BREADS,SLICED WHOLE WHEAT BREAD
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Breakfast,BREADS,VARIETY WRAPS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,BREAKFAST MEATS,GRILLED TURKEY SAUSAGE LINKS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,BREAKFAST MEATS,PORK SAUSAGE LINKS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,BREAKFAST MEATS,SAVORY PLANT-BASED BREAKFAST PATTIES
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,BREAKFAST ENTREES,BELGIAN  WAFFLES
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,BREAKFAST ENTREES,OATMEAL
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,BREAKFAST ENTREES,PANCAKES
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,BREAKFAST ENTREES,SCRAMBLED EGGS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,BAGELS,ASSORTED BAGELS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,BAGELS,CINNAMAON RAISIN BAGELS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,BAGELS,EGG BAGEL
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,BAGELS,EVERYTHING BAGEL
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,BAGELS,GARLIC BAGEL
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,BAGELS,JALAPENO BAGEL
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,BAGELS,ONION BAGEL
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,BAGELS,PLAIN BAGELS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,BAGELS,POPPY BAGEL
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,BAGELS,SALT BAGEL
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,BAGELS,SESAME BAGEL
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,BAGELS,SUNDRIED TOMATO BAGEL
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,BAGELS,WHOLE WHEAT BAGEL
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,YOGURT BAR,COTTAGE CHEESE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,YOGURT BAR,CRAISINS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,YOGURT BAR,GRANOLA OATS & HONEY
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,YOGURT BAR,HARD BOILED EGGS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,YOGURT BAR,OATMEAL
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,YOGURT BAR,PLAIN GREEK CHOBANI YOGURT
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,YOGURT BAR,PUMPKIN SEEDS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,YOGURT BAR,RAISINS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,YOGURT BAR,STRAWBERRY YOGURT
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,YOGURT BAR,SUNFLOWER SEEDS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,YOGURT BAR,VANILLA YOGURT
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD BAR,BABY SPINACH
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD BAR,BROCCOLI FLORETS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD BAR,BROCCOLI SALAD
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD BAR,CAULIFLOWER FLORETS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD BAR,CHERRY TOMATOES
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD BAR,CHICKPEAS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD BAR,CHOPPED SWEET RED PEPPERS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD BAR,CROUTONS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD BAR,CRUMBLED FETA CHEESE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD BAR,CUCUMBERS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD BAR,DICED TOFU
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD BAR,HARDBOILED EGGS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD BAR,ICEBERG LETTUCE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD BAR,KALAMATA OLIVES
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD BAR,RED ONION
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD BAR,RIPE SLICED OLIVES
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD BAR,ROMAINE LETTUCE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD BAR,SHREDDED CARROTS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD BAR,SHREDDED CHEDDAR  CHEESE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD BAR,SHREDDED RED CABBAGE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD BAR,SLICED BEETS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD BAR,SLICED MUSHROOMS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD BAR,SPRING MIX GREENS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD BAR,TOMATO WEDGES
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD BAR,WASABI PEAS
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD BAR,WHOLE BLACK PITTED OLIVES
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD DRESSING,BALSAMIC VINAIGRETTE
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD DRESSING,BALSAMIC VINEGAR
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD DRESSING,BLUE CHEESE DRESSING
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD DRESSING,CAESAR DRESSING
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD DRESSING,GOLDEN ITALIAN DRESSING
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD DRESSING,OLIVE AND CANOLA OIL BLEND
Livingston Dining Commons,Livingston,2025-10-04,Saturday,Lunch,SALAD DRESSING,RANCH DRESSING
