location,date,day_of_week,meal_period,category,item
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,BAGELS,CINNAMAON RAISIN BAGELS
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,BAGELS,EGG BAGEL
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,BAGELS,EVERYTHING BAGEL
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,BAGELS,GARLIC BAGEL
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,BAGELS,JALAPENO BAGEL
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,BAGELS,ONION BAGEL
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,BAGELS,PLAIN BAGELS
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,BAGELS,SESAME BAGEL
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,BAGELS,WHOLE WHEAT BAGEL
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,YOGURT BAR,COTTAGE CHEESE
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,YOGURT BAR,CRAISINS
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,YOGURT BAR,GRANOLA OATS & HONEY
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,YOGURT BAR,PLAIN GREEK CHOBANI YOGURT
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,YOGURT BAR,RAISINS
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,YOGURT BAR,VANILLA YOGURT
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,DELI BAR ENTREE,BOILED HAM
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,DELI BAR ENTREE,SLICED PROVOLONE CHEESE
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,DELI BAR ENTREE,TUNA SALAD
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,DELI BAR ENTREE,TURKEY BREAST
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,DELI BAR ENTREE,YELLOW AMERICAN CHEESE
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,FRUIT,BANANAS
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,FRUIT,CANTALOUPE MELON
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,FRUIT,GOLDEN PINEAPPLE
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,FRUIT,GRANNY SMITH APPLES
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,FRUIT,GREEN SEEDLESS GRAPES
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,FRUIT,HONEYDEW MELON
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,FRUIT,RED DELICIOUS APPLES
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,FRUIT,RED SEEDLESS  GRAPES
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,FRUIT,STRAWBERRIES
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,FRUIT,WATERMELON
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,FRUIT,WHOLE ORANGES
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,BREADS,ENGLISH MUFFIN
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,BREADS,MEDIUM KAISER ROLL
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,BREADS,PITA BREAD
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,BREADS,SLICED RYE BREAD
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,BREADS,SLICED WHITE BREAD
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,BREADS,SLICED WHOLE WHEAT BREAD
Neilson Dining Hall,2025-10-04,Saturday,Breakfast,BREADS,VARIETY WRAPS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,BREAKFAST MEATS,SAVORY PLANT-BASED BREAKFAST PATTIES
Neilson Dining Hall,2025-10-04,Saturday,Lunch,BREAKFAST MEATS,TURKEY BACON
Neilson Dining Hall,2025-10-04,Saturday,Lunch,BREAKFAST ENTREES,BELGIAN  WAFFLES
Neilson Dining Hall,2025-10-04,Saturday,Lunch,BREAKFAST ENTREES,FRENCH TOAST STICKS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,BREAKFAST ENTREES,HARD BOILED EGGS
Neilson Dining Hall,2025-10-04,Saturday,Lunch,BREAKFAST ENTREES,OATMEAL
