Campus Name,Name of Eatery,Timings,Meal Swipe Available
Busch Campus,Busch Dining Hall,"Dine In - Weekdays: 7:00am-9:00pm, Weekends: 9:30am-8:00pm | Takeout - Breakfast: Weekdays 7:00am-11:00am, Lunch: Weekdays 11:00am-4:00pm, Dinner: Mon-Thu 5:00pm-11:00pm",Yes
Busch Campus,Gerlanda's Pizza and Cafe,Not Available,No
Busch Campus,Harvest Juice Bar,Weekdays: 10:00am-3:30pm,Yes
Busch Campus,Knight Wagon,Weekdays: 12:00pm-4:00pm (Thursday: Busch Campus),Yes
Busch Campus,Qdoba,Mon-Fri: 10:00am-10:00pm | Sat-Sun: Closed,No
Busch Campus,Panera Bread,Not Available,No
Busch Campus,Starbucks Truck,Weekdays: 10:00am-4:00pm (Thursday - Busch by Allison Road Classrooms),Yes
Busch Campus,Szechwan Ichiban,Not Available,No
Busch Campus,Three Chilies Taco Truck,Weekdays: 12:00pm-4:00pm (Thursday: Busch Campus),Yes
Busch Campus,Woody's Cafe,Weekdays: 7:30am-6:00pm,Yes
Livingston Campus,Henry's Diner,Mon-Fri: 12:00pm-6:00pm (Dine In Only) | Meal Swipe Hours: Mon-Fri 12:00pm-5:00pm,Yes
Livingston Campus,Kilmer's Market,Mon-Thu: 11:00am-10:00pm | Fri: 11:00am-8:00pm,Yes
Livingston Campus,Knight Wagon,Weekdays: 12:00pm-4:00pm (Friday: Livingston Campus),Yes
Livingston Campus,Livingston Dining Commons,Weekdays: 7:00am-9:00pm | Weekends: 9:30am-8:00pm,Yes
Livingston Campus,Sbarro,Mon-Thu: 11:00am-11:00pm | Fri-Sun: 11:00am-5:00pm,Yes
Livingston Campus,Starbucks,Weekdays: 7:00am-5:00pm,No
Livingston Campus,Starbucks Truck,Weekdays: 10:00am-4:00pm (Tuesday - Livingston by towers near student center),Yes
Livingston Campus,The Rutgers Club,Not Available,Yes
Livingston Campus,Three Chilies Taco Truck,Weekdays: 12:00pm-4:00pm (Friday: Livingston Campus),Yes
College Avenue Campus,The Atrium,Mon-Thu: 7:00am-11:00pm | Fri: 7:00am-9:00pm | Sat-Sun: 9:30am-8:00pm,Yes
College Avenue Campus,Cafe West,Mon-Thu: 9:00am-11:00pm | Fri: 9:00am-8:00pm,Yes
College Avenue Campus,Knight Wagon,Weekdays: 12:00pm-4:00pm (Monday: Senior Street | Wednesday: River Dorms),Yes
College Avenue Campus,Panera Bread,Not Available,No
College Avenue Campus,Starbucks Truck,Weekdays: 10:00am-4:00pm (Monday - by Alexander Library | Friday - George St by River Dorms),Yes
College Avenue Campus,Three Chilies Taco Truck,Weekdays: 12:00pm-4:00pm (Monday: Senior Street | Wednesday: River Dorms),Yes
Cook/Douglass Campus,Cook Cafe,Mon-Fri: 3:00pm-11:00pm,Yes
Cook/Douglass Campus,DC Bagels,Mon-Fri: 8:00am-4:00pm,Yes
Cook/Douglass Campus,Douglass Cafe,Mon-Thu: 8:00am-9:00pm | Fri: 8:00am-4:00pm,Yes
Cook/Douglass Campus,Harvest IFNH,Mon-Fri: 9:00am-2:30pm (Meal Swipes Available all day),Yes
Cook/Douglass Campus,Knight Wagon,Weekdays: 12:00pm-4:00pm (Tuesday: Cook Campus),Yes
Cook/Douglass Campus,Neilson Dining Hall,"Dine In - Weekdays: 7:00am-9:00pm, Weekends: 9:30am-8:00pm | Takeout Dinner: Mon-Thu 5:00pm-9:00pm",Yes
Cook/Douglass Campus,Red Pine Pizza,Mon-Thu: 11:00am-9:00pm | Fri: 11:00am-4:00pm,Yes
Cook/Douglass Campus,Starbucks Truck,Weekdays: 10:00am-4:00pm (Wednesday - Cook by Biel Road Bus Stop),Yes
Cook/Douglass Campus,Three Chilies Taco Truck,Weekdays: 12:00pm-4:00pm (Tuesday: Cook Campus),Yes
