name,location,date_time,link
Comic Relief XXXVII: The Biggest Show This Town Has Ever Seen!,Scott Hall 135,"Saturday, October 4 at 8:00PM EDT",https://rutgers.campuslabs.com/engage/event/11712077
beach retreat,seaside,"Saturday, October 4 at 3:15PM EDT",https://rutgers.campuslabs.com/engage/event/11745266
Comic Relief XXXVII: The Biggest Show This Town Has Ever Seen!,Scott Hall 135,"Sunday, October 5 at 12:00AM EDT",https://rutgers.campuslabs.com/engage/event/11712078
Sandy Hook Birdwatching Trip,Parking Lot M,"Sunday, October 5 at 8:00AM EDT",https://rutgers.campuslabs.com/engage/event/11704151
Guided Practice 2:00PM - 3:30PM,College Ave Gym Wrestling Room,"Sunday, October 5 at 2:00PM EDT",https://rutgers.campuslabs.com/engage/event/11745125
Rainbow Symphony Rehearsal,Walters Hall - Room 240,"Friday, October 3 at 2:00PM EDT",https://rutgers.campuslabs.com/engage/event/11403511
Rainbow Symphony Rehearsal,Walters Hall - Room 240,"Friday, September 19 at 2:00PM EDT",https://rutgers.campuslabs.com/engage/event/11403509
Rainbow Symphony Rehearsal,Walters Hall - Room 240,"Friday, September 26 at 2:00PM EDT",https://rutgers.campuslabs.com/engage/event/11403510
Rainbow Symphony Rehearsal,Walters Hall - Room 240,"Friday, September 12 at 2:00PM EDT",https://rutgers.campuslabs.com/engage/event/11403508
Rainbow Symphony Rehearsal,Walters Hall - Room 240,"Sunday, October 5 at 3:00PM EDT",https://rutgers.campuslabs.com/engage/event/11403507
HackRU Fall 2025,College Avenue Student Center,"Saturday, October 4 at 12:00PM EDT",https://rutgers.campuslabs.com/engage/event/11408342
All Women's Calisthenics Practice 3:45 - 5:15 PM,College Ave Gym Wrestling Room,"Sunday, October 5 at 3:45PM EDT",https://rutgers.campuslabs.com/engage/event/11745124
Pitch Day!,Core Room 301,"Sunday, October 5 at 4:00PM EDT",https://rutgers.campuslabs.com/engage/event/11720596
Candidate Meeting 3,Campbell Hall,"Sunday, October 5 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11674825
Chapter 5,Campbell Hall A4,"Sunday, October 5 at 8:00PM EDT",https://rutgers.campuslabs.com/engage/event/11721166
Verse One - PRACTICE!,Lucy Stone,"Sunday, October 5 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11674688
Financing Study Abroad Workshop - How Do I Pay for It?,Online,"Monday, October 6 at 11:30AM EDT",https://rutgers.campuslabs.com/engage/event/11419651
Fall 2025 Civil and Environmental Engineering Career Expo,Busch Student Center International Lounge,"Monday, October 6 at 9:00AM EDT",https://rutgers.campuslabs.com/engage/event/11604074
Classics GSA Lecture: Lucretius and the Didactic Value of Animals in De Rerum Natura,AB 6190,"Monday, October 6 at 1:30PM EDT",https://rutgers.campuslabs.com/engage/event/11667065
Study Abroad in Spain 101,Online,"Monday, October 6 at 4:00PM EDT",https://rutgers.campuslabs.com/engage/event/11733257
PhD Panel,C-115,"Monday, October 6 at 5:30PM EDT",https://rutgers.campuslabs.com/engage/event/11745182
Steel Bridge Design Meetings,BME 128,"Monday, October 6 at 5:30PM EDT",https://rutgers.campuslabs.com/engage/event/11681336
RU Autonomous - Autopilot Meeting 7:00 PM - 9:00 PM,D-123 (The Cage),"Monday, October 6 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11667437
RU Autonomous - Hardware Meeting 7:00 PM - 9:00 PM,D-123 (The Cage),"Monday, October 6 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11659660
RU Autonomous - Airdrop Meeting 7:00 PM - 9:00 PM,D-123 (The Cage),"Monday, October 6 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11667473
RU Autonomous - Imaging Meeting 7:00 PM - 9:00 PM,D-123 (The Cage),"Monday, October 6 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11667455
Youth Empowerment Club General Meeting!,College Ave Student Center - Room 109,"Monday, October 6 at 8:00PM EDT",https://rutgers.campuslabs.com/engage/event/11612713
Making Sourdough Starters,Douglas Student Center - NJC Lounge,"Monday, October 6 at 8:00PM EDT",https://rutgers.campuslabs.com/engage/event/11678931
RU Airborne General Meeting,The Cage (D123),"Monday, October 6 at 7:30PM EDT",https://rutgers.campuslabs.com/engage/event/11698358
RU Autonomous - Business & Operations Meeting 7:30 PM - 9:30 PM,D-123 (The Cage),"Monday, October 6 at 7:30PM EDT",https://rutgers.campuslabs.com/engage/event/11716624
Tu Me Hiciste Brujeria,CLAC,"Monday, October 6 at 7:30PM EDT",https://rutgers.campuslabs.com/engage/event/11659520
Womyn Who Lead: Power Panel,Academic Building- West 2126,"Monday, October 6 at 8:00PM EDT",https://rutgers.campuslabs.com/engage/event/11742895
Monday Night Live,The Cove - Busch Student Center,"Monday, October 6 at 8:00PM EDT",https://rutgers.campuslabs.com/engage/event/11592463
WISO: Scary Movie Night,Tillet Hall,"Monday, October 6 at 8:30PM EDT",https://rutgers.campuslabs.com/engage/event/11745230
SEA Campaign Meeting,"Cook Student Center, George H. Cook Room","Monday, October 6 at 8:30PM EDT",https://rutgers.campuslabs.com/engage/event/11720601
Guest Speaker: NPC Coach Joe McNelis and Female NPC Bodybuilder Meagan Rodrigues,College Avenue Student Center,"Monday, October 6 at 9:00PM EDT",https://rutgers.campuslabs.com/engage/event/11712421
Trip to HK,Livingston Student Center 202 ABC,"Monday, October 6 at 9:30PM EDT",https://rutgers.campuslabs.com/engage/event/11727495
RRPL Structures Meeting,D-123 Mezzanine (The Cage),"Monday, October 6 at 9:30PM EDT",https://rutgers.campuslabs.com/engage/event/11684138
MathLing Reading Group,Linguistics Building,"Tuesday, October 7 at 11:30AM EDT",https://rutgers.campuslabs.com/engage/event/11659575
NeuroConnections Seminar - Prar Gowda,Research Tower V14 & Zoom,"Tuesday, October 7 at 12:00PM EDT",https://rutgers.campuslabs.com/engage/event/11691650
Fall 2025 Civil and Environmental Engineering Career Expo,Busch Student Center International Lounge,"Tuesday, October 7 at 9:00AM EDT",https://rutgers.campuslabs.com/engage/event/11604075
Study Abroad Spring Break/Embedded Spring Information Session,Online,"Tuesday, October 7 at 2:00PM EDT",https://rutgers.campuslabs.com/engage/event/11560609
"Is Rutgers Accessible?: Disability, the Built Environment, and Intersectionality",Conklin Hall Room 203,"Tuesday, October 7 at 2:30PM EDT",https://rutgers.campuslabs.com/engage/event/11678194
Navigating Healthcare Leadership – A C-Suite Panel Discussion,Online,"Tuesday, October 7 at 5:00PM EDT",https://rutgers.campuslabs.com/engage/event/11720374
Stress Less with Art,Rutgers CAPS,"Tuesday, October 7 at 5:30PM EDT",https://rutgers.campuslabs.com/engage/event/11366574
Stress Less with Art,Rutgers CAPS,"Tuesday, October 7 at 6:30PM EDT",https://rutgers.campuslabs.com/engage/event/11366538
RRPL Lockheed Martin Professional Event,SERC Room 208,"Tuesday, October 7 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11712151
Concrete Canoe General Meeting,Biomedical Engineering Building Room 128,"Tuesday, October 7 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11684366
Sky Campus Karaoke!,Room 111 LSC,"Tuesday, October 7 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11638350
Third Meeting,Linguistics Building- Room 108,"Tuesday, October 7 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11286275
Swing Dancing Lesson!,Douglass Student Center NJC Lounge,"Tuesday, October 7 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11734121
RU Autonomous - Hardware Meeting 7:00 PM - 9:00 PM,D-123 (The Cage),"Tuesday, October 7 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11659661
Pitch Day!,Core Room 301,"Tuesday, October 7 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11720597
RU Autonomous - Imaging Meeting 7:00 PM - 9:00 PM,D-123 (The Cage),"Tuesday, October 7 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11667456
"Don't Be Trashy, VOTE!",Douglass Student Center,"Tuesday, October 7 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11720613
Beauty and Brain X Searu: Get Ready With Us - Thai Edition,BSC Cove,"Tuesday, October 7 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11745236
Douglass Weekly Meeting,Kathleen Ludwig Building,"Tuesday, October 7 at 8:00PM EDT",https://rutgers.campuslabs.com/engage/event/11651659
Tote Bag Painting,"Murray Hall, room 001","Tuesday, October 7 at 8:00PM EDT",https://rutgers.campuslabs.com/engage/event/11745181
Nova Southeastern Information Session,Online,"Tuesday, October 7 at 8:00PM EDT",https://rutgers.campuslabs.com/engage/event/11745188
CJO Middlesex County Prosecutor’s Office Internship Info Session,Tillett Hall Room 103C,"Tuesday, October 7 at 8:15PM EDT",https://rutgers.campuslabs.com/engage/event/11738545
RU Autonomous - Business & Operations Meeting 7:30 PM - 9:30 PM,D-123 (The Cage),"Tuesday, October 7 at 7:30PM EDT",https://rutgers.campuslabs.com/engage/event/11716625
Lanterning with Leonyne Theta,Center for Latino Arts and Culture,"Tuesday, October 7 at 8:00PM EDT",https://rutgers.campuslabs.com/engage/event/11742913
Free Hot Breakfast & Black Cartoons,Paul Robeson Cultural Center,"Wednesday, October 8 at 9:30AM EDT",https://rutgers.campuslabs.com/engage/event/11744820
Free Jazz on the Lawn,IFNH (where Harvest Cafe is - playing outdoors in good/decent weather) on Cook/Doug,"Wednesday, October 8 at 12:00PM EDT",https://rutgers.campuslabs.com/engage/event/11712012
Oceanography Graduate Student Association monthly meeting,Department of Marine and Coastal Sciences,"Wednesday, October 8 at 12:00PM EDT",https://rutgers.campuslabs.com/engage/event/11738362
Student Org Essentials Training #3 – Do You Want to Build a Program?,"Livingston Student Center, Collaborative Learning Center","Wednesday, October 8 at 1:00PM EDT",https://rutgers.campuslabs.com/engage/event/11553462
Wednesday Pumpkin Painting Pop Up- Cook/Douglass,Cook/Douglass Residence Life Office,"Wednesday, October 8 at 1:00PM EDT",https://rutgers.campuslabs.com/engage/event/11729533
Do Accommodations Make Sense for You? ODS Drop-In Hours,Graduate Student Lounge,"Wednesday, October 8 at 2:00PM EDT",https://rutgers.campuslabs.com/engage/event/11657102
RU Curly's: Fall Bake Sale,Livingston Student Center - Table 2,"Wednesday, October 8 at 2:00PM EDT",https://rutgers.campuslabs.com/engage/event/11739416
Weekly Meeting,Room 472 - Civic Square Building,"Wednesday, October 8 at 4:00PM EDT",https://rutgers.campuslabs.com/engage/event/11697814
Foundations of Faith,Livingston Student Center,"Wednesday, October 8 at 5:00PM EDT",https://rutgers.campuslabs.com/engage/event/11732913
Stress Less with Art,Rutgers CAPS,"Wednesday, October 8 at 5:30PM EDT",https://rutgers.campuslabs.com/engage/event/11366539
Speaker Series - New Brunswick City Councilwoman Petra Gaskins,College Avenue Student Center,"Wednesday, October 8 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11401347
Weekly Bible Study,Douglass Student Center MEETING ROOM B,"Wednesday, October 8 at 6:30PM EDT",https://rutgers.campuslabs.com/engage/event/11653645
RECONS Guest Speaker Series,Online,"Wednesday, October 8 at 7:00PM EDT",https://rutgers.campuslabs.com/engage/event/11592796
